fasta_name,accession
D/bovine/Miyazaki/B22/2016|Japan|2016-04-13,LC270266.1
D/bovine/Ibaraki/7768/2016|Japan|2016-02-04,LC128438.1
D/bovine/Mexico/S7/2015|Mexico|2015,KU710434.1
D/bovine/Mexico/S8/2015|Mexico|2015,KU710435.1
D/bovine/Mexico/S56/2015|Mexico|2015,KU710436.1
D/bovine/Italy/1/2014|Italy|2014-11,KT592521.1
D/bovine/Italy/46484/2015|Italy|2015,KT592524.2
D/swine/Italy/199724-3/2015|Italy|2015,KT592531.1
D/bovine/Mississippi/C00046N/2014|USA|2014-02-19,KT581410.1
D/bovine/Mississippi/C00013N/2014|USA|2014-02-07,MT511507.1
D/bovine/Mississippi/C00014N/2014|USA|2014-02-07,MT511445.1
D/bovine/Mississippi/C00030P/2014|USA|2014-02-19,MT511369.1
D/bovine/Shandong/Y125/2014|China|2014-04-02,KM015492.1
D/bovine/Shandong/Y127/2014|China|2014-04-02,KM015499.1
D/bovine/Shandong/Y217/2014|China|2014-04-02,KM015506.1
D/bovine/Kansas/1-35/2010|USA|2010-12-10,KM392476.1
D/bovine/Texas/3-13/2011|USA|2011-06-01,KM392483.1
D/bovine/Kansas/13-21/2012|USA|2012-10-17,KM392490.1
D/bovine/Kansas/14-22/2012|USA|2012-12-01,KM392497.1
D/bovine/Kansas/11-8/2012|USA|2012-04-19,KM392504.1
D/bovine/Minnesota/628/2013|USA|2013-02-18,KF425653.1
D/bovine/Oklahoma/660/2013|USA|2013-02-20,KF425660.1
D/bovine/Minnesota/729/2013|USA|2013-02-26,KF425667.1
D/swine/Northern_Ireland/2156-02/2023|United_Kingdom|2023-01-24,PQ776814.1
D/swine/Northern_Ireland/2156-07/2023|United_Kingdom|2023-01-24,PQ776815.1
D/swine/Northern_Ireland/2170-22/2023|United_Kingdom|2023-02-24,PQ776812.1
D/swine/Northern_Ireland/2170-23/2023|United_Kingdom|2023-02-24,PQ776813.1
D/swine/Northern_Ireland/2155-15/2023|United_Kingdom|2023-01-13,PQ776810.1
D/swine/Northern_Ireland/2155-27/2023|United_Kingdom|2023-01-13,PQ776811.1
D/swine/Northern_Ireland/2163-09/2023|United_Kingdom|2023-01-31,PQ776816.1
D/swine/Northern_Ireland/2163-17/2023|United_Kingdom|2023-01-31,PQ776817.1
D/swine/Northern_Ireland/2160-29/2023|United_Kingdom|2023-01-25,PQ776823.1
D/swine/Northern_Ireland/2160-28/2023|United_Kingdom|2023-01-25,PQ776818.1
D/swine/Northern_Ireland/2179-26/2023|United_Kingdom|2023-04-17,PQ776821.1
D/swine/Northern_Ireland/2179-28/2023|United_Kingdom|2023-04-17,PQ776822.1
D/swine/Northern_Ireland/2168-27/2023|United_Kingdom|2023-02-07,PQ776819.1
D/swine/Northern_Ireland/2168-29/2023|United_Kingdom|2023-02-07,PQ776820.1
IDV_NSW_L9|Australia|2019-04,OP020133.1
D/bovine/Italy/94269-2/2019|Italy|2019-03,MT349511.1
D/bovine/Italy/94269-1/2019|Italy|2019-03,MT349518.1
D/bovine/Italy/94243/2019|Italy|2019-03,MT349525.1
D/bovine/Italy/60797/2017|Italy|2017-03,MT349532.1
D/bovine/Italy/37431/2018|Italy|2018-02,MT349537.1
D/bovine/Italy/358240/2017|Italy|2017-12,MT349547.1
D/bovine/Italy/344278/2017|Italy|2017-12,MT349559.1
D/bovine/Italy/300771/2017|Italy|2017-11,MT349573.1
D/bovine/Italy/188812-1/2017|Italy|2017-07,MT349580.1
D/bovine/Italy/144539/2019|Italy|2019-04,MT349601.1
D/bovine/Italy/144136/2018|Italy|2018-05,MT349608.1
D/bovine/Italy/13882-2/2017|Italy|2017-01,MT349615.1
D/bovine/Italy/131159/2017|Italy|2017-05,MT349622.1
D/bovine/Italy/123836/2017|Italy|2017-05,MT349636.1
D/bovine/Italy/122566-2/2019|Italy|2019-04,MT349642.1
D/bovine/Italy/117140/2019|Italy|2019-04,MT349649.1
D/bovine/Mississippi/C00037P/2014|USA|2014-02-19,MT511334.1
D/bovine/Mississippi/C00075N/2014|USA|2014-04-02,MT511341.1
D/bovine/Mississippi/C00013P/2014|USA|2014-02-07,MT511348.1
D/bovine/Mississippi/C00180N/2015|USA|2015-07-24,MT511355.1
D/bovine/Mississippi/C00135N/2014|USA|2014-05-23,MT511362.1
D/bovine/Mississippi/C00196N/2015|USA|2015-07-24,MT511375.1
D/bovine/Mississippi/C00017N/2014|USA|2014-02-07,MT511382.1
D/bovine/Mississippi/C00040P/2014|USA|2014-02-19,MT511389.1
D/bovine/Mississippi/C00200N/2015|USA|2015-07-24,MT511396.1
D/bovine/Mississippi/C00185N/2015|USA|2015-07-24,MT511403.1
D/bovine/Mississippi/C00007N/2014|USA|2014-02-07,MT511410.1
D/bovine/Mississippi/C00002N/2014|USA|2014-02-07,MT511417.1
D/bovine/Mississippi/C00004N/2014|USA|2014-02-19,MT511424.1
D/bovine/Mississippi/C00213N/2015|USA|2015-07-24,MT511431.1
D/bovine/Mississippi/C00199N/2015|USA|2015-07-24,MT511438.1
D/bovine/Mississippi/C00158N/2015|USA|2015-01-09,MT511451.1
D/bovine/Mississippi/C00020N/2014|USA|2014-02-07,MT511458.1
D/bovine/Mississippi/C00218N/2015|USA|2015-07-24,MT511465.1
D/bovine/Mississippi/C00165P/2015|USA|2015-01-17,MT511472.1
D/bovine/Mississippi/C00067N/2014|USA|2014-04-02,MT511479.1
D/bovine/Mississippi/C00148N/2014|USA|2014-01-09,MT511486.1
D/bovine/Mississippi/C00162N/2015|USA|2015-01-09,MT511493.1
D/bovine/Mississippi/C00186N/2015|USA|2015-07-24,MT511500.1
D/bovine/Mississippi/C00207N/2015|USA|2015-07-24,MT511513.1
D/bovine/Mississippi/C00158P/2015|USA|2015-01-09,MT511520.1
D/bovine/Mississippi/C00009P/2014|USA|2014-02-07,MT511527.1
D/bovine/Mississippi/C00165N/2015|USA|2015-01-17,MT511534.1
D/bovine/Mississippi/C00214N/2015|USA|2015-07-24,MT511541.1
